chapter-counter,verse-counter,arabic-verse-weight
8,23,3388
8,24,4706
8,25,5829
8,26,10070
8,27,5124
8,28,2898
8,29,7768
8,30,6392
8,31,5701
8,32,4814
8,33,4531
8,34,3847
8,35,5261
8,36,7733
8,37,6494
8,38,5676
8,39,4092
8,40,1806
8,41,9186
8,42,9673
8,43,6692
8,44,6294
8,45,6173
8,46,4253
8,47,3905
8,48,8554
8,49,5768
8,50,6822
8,51,2764
8,52,5365
8,53,5580
8,54,6912
8,55,2195
8,56,4514
8,57,4265
8,58,4493
8,59,1707
8,60,9209
8,61,1590
8,62,2699
8,63,3731
8,64,1177
8,65,8451
8,66,8453
8,67,6954
8,68,4663
8,69,4081
8,70,8119
8,71,3125
8,72,11751
8,73,6470
8,74,5379
8,75,5152
9,0,0
9,1,3160
9,2,5309
9,3,10248
9,4,6750
9,5,11635
9,6,5485
9,7,5822
9,8,6105
9,9,3040
9,10,2547
9,11,4183
9,12,3827
9,13,7653
9,14,3833
9,15,4118
9,16,7460
9,17,4180
9,18,5478
9,19,5886
9,20,3872
9,21,3603
9,22,2269
9,23,6981
9,24,11066
9,25,11118
9,26,5863
9,27,4068
9,28,8366
9,29,8170
9,30,6464
9,31,4635
9,32,2453
9,33,3929
9,34,8297
9,35,6055
9,36,13681
9,37,6179
9,38,10741
9,39,7022
9,40,13522
9,41,5266
9,42,7614
9,43,4945
9,44,4514
9,45,5642
9,46,4122
9,47,7255
9,48,5513
9,49,4460
9,50,5674
9,51,2129
9,52,5315
9,53,2528
9,54,4416
9,55,3898
9,56,1519
9,57,2801
9,58,4176
9,59,5663
9,60,6672
9,61,9641
9,62,3327
9,63,4470
9,64,6443
9,65,5011
9,66,5752
9,67,6528
9,68,4136
9,69,17167
9,70,8532
9,71,6977
9,72,8629
9,73,3572
9,74,12088
9,75,2770
9,76,3914
9,77,2975
9,78,2224
9,79,6304
9,80,10929
9,81,6002
9,82,2213
9,83,9831
9,84,3838
9,85,3364
9,86,5592
9,87,2798
9,88,3576
9,89,5191
9,90,6700
9,91,7448
9,92,6134
9,93,6356
9,94,11906
9,95,5645
9,96,5456
9,97,2480
9,98,6055
9,99,9418
9,100,10060
9,101,7482
9,102,6720
9,103,4742
9,104,4345
9,105,5499
9,106,3288
9,107,8439
9,108,4097
9,109,6569
9,110,3067
9,111,11242
9,112,4798
9,113,5129
9,114,4930
9,115,3835
9,116,3199
9,117,7856
9,118,12808
9,119,1975
9,120,13564
9,121,4780
9,122,7473
9,123,6375
9,124,6384
9,125,4164
9,126,4707
9,127,7405
9,128,2892
9,129,3882
10,0,786
10,1,1655
10,2,5907
10,3,10964
10,4,7352
10,5,6933
10,6,5340
10,7,5599
10,8,711
10,9,4712
10,10,3130
10,11,7171
10,12,7646
10,13,4904
10,14,4744
10,15,12069
10,16,4468
10,17,4593
10,18,6787
10,19,6236
